03-09 20:21:41.964 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2820, 1489062101966
03-09 20:21:41.964 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2820, 1489062101966
03-09 20:21:41.974 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062101228, 1489062101967, 1489062101987
03-09 20:21:42.034 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2920, 1489062102045
03-09 20:21:42.034 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2920, 1489062102045
03-09 20:21:42.054 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062101310, 1489062102045, 1489062102069
03-09 20:21:42.074 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2923, 1489062102087
03-09 20:21:42.074 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2923, 1489062102087
03-09 20:21:42.104 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062101407, 1489062102088, 1489062102121
03-09 20:21:42.134 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 3023, 1489062102144
03-09 20:21:42.134 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 3023, 1489062102144
03-09 20:21:42.144 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 3024, 1489062102156
03-09 20:21:42.144 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 3024, 1489062102160
03-09 20:21:42.164 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062101436, 1489062102145, 1489062102180
03-09 20:21:42.174 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 3037, 1489062102186
