03-09 20:16:56.764 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061816331, 1489061816749, 1489061816776
03-09 20:16:56.774 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2325, 1489061816783
03-09 20:16:56.784 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2358, 1489061816796
03-09 20:16:56.784 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2325, 1489061816799
03-09 20:16:56.794 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061816372, 1489061816771, 1489061816806
03-09 20:16:56.794 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2414, 1489061816810
03-09 20:16:56.804 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2358, 1489061816814
03-09 20:16:56.804 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2414, 1489061816819
03-09 20:16:56.814 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061816481, 1489061816800, 1489061816827
03-09 20:16:56.824 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061816605, 1489061816814, 1489061816842
03-09 20:16:56.894 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2514, 1489061816910
