03-09 19:41:59.294 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1396, 1489059719305
03-09 19:41:59.294 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059719278, 1489059719304, 1489059719309
03-09 19:41:59.314 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059719305, 1489059719321, 1489059719330
03-09 19:41:59.324 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1433, 1489059719338
03-09 19:41:59.324 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1433, 1489059719339
03-09 19:41:59.334 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059719339, 1489059719351, 1489059719351
03-09 19:41:59.544 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1473, 1489059719559
03-09 19:41:59.544 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1473, 1489059719559
03-09 19:41:59.544 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1496, 1489059719560
03-09 19:41:59.544 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1533, 1489059719561
03-09 19:41:59.544 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1496, 1489059719561
03-09 19:41:59.544 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1533, 1489059719562
03-09 19:41:59.564 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059719559, 1489059719574, 1489059719575
03-09 19:41:59.564 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1573, 1489059719578
03-09 19:41:59.564 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1596, 1489059719578
03-09 19:41:59.564 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1573, 1489059719579
03-09 19:41:59.564 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1596, 1489059719580
03-09 19:41:59.574 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059719561, 1489059719580, 1489059719585
03-09 19:41:59.584 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059719579, 1489059719596, 1489059719597
03-09 19:41:59.584 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1696, 1489059719602
03-09 19:41:59.584 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1696, 1489059719603
