03-09 20:24:00.944 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062240931, 1489062240944, 1489062240953
03-09 20:24:00.944 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1151, 1489062240953
03-09 20:24:00.944 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1151, 1489062240954
03-09 20:24:00.964 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062240954, 1489062240967, 1489062240973
03-09 20:24:00.974 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1191, 1489062240991
03-09 20:24:00.984 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1191, 1489062240992
03-09 20:24:00.994 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062240992, 1489062241004, 1489062241006
03-09 20:24:01.014 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1229, 1489062241027
03-09 20:24:01.014 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1229, 1489062241027
03-09 20:24:01.034 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1249, 1489062241046
03-09 20:24:01.034 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1249, 1489062241046
03-09 20:24:01.034 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062241027, 1489062241040, 1489062241049
03-09 20:24:01.044 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062241046, 1489062241058, 1489062241061
03-09 20:24:01.084 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1289, 1489062241092
03-09 20:24:01.084 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1289, 1489062241093
03-09 20:24:01.094 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1311, 1489062241108
03-09 20:24:01.094 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1311, 1489062241109
03-09 20:24:01.104 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062241093, 1489062241105, 1489062241113
03-09 20:24:01.124 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062241109, 1489062241120, 1489062241125
03-09 20:24:01.134 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1349, 1489062241150
03-09 20:24:01.134 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1349, 1489062241150
03-09 20:24:01.154 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062241150, 1489062241161, 1489062241166
03-09 20:24:01.184 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1389, 1489062241185
03-09 20:24:01.184 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1389, 1489062241186
03-09 20:24:01.184 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062241186, 1489062241197, 1489062241198
03-09 20:24:01.214 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1429, 1489062241226
03-09 20:24:01.214 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1429, 1489062241226
03-09 20:24:01.224 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062241226, 1489062241238, 1489062241240
03-09 20:24:01.234 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1451, 1489062241245
03-09 20:24:01.234 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1451, 1489062241246
03-09 20:24:01.254 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062241246, 1489062241257, 1489062241262
03-09 20:24:01.294 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1490, 1489062241303
