03-09 20:13:26.434 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1353, 1489061606448
03-09 20:13:26.454 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1374, 1489061606467
03-09 20:13:26.454 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1374, 1489061606468
03-09 20:13:26.454 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061606448, 1489061606460, 1489061606469
03-09 20:13:26.474 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061606468, 1489061606479, 1489061606481
03-09 20:13:26.504 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1413, 1489061606518
03-09 20:13:26.504 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1413, 1489061606519
03-09 20:13:26.524 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061606519, 1489061606531, 1489061606532
03-09 20:13:26.554 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1453, 1489061606568
03-09 20:13:26.554 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1453, 1489061606569
03-09 20:13:26.564 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1473, 1489061606583
03-09 20:13:26.574 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1473, 1489061606584
03-09 20:13:26.574 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061606569, 1489061606581, 1489061606584
03-09 20:13:26.594 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061606584, 1489061606596, 1489061606605
03-09 20:13:26.604 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1513, 1489061606613
03-09 20:13:26.604 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1513, 1489061606614
03-09 20:13:26.624 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061606614, 1489061606628, 1489061606635
03-09 20:13:26.634 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1553, 1489061606646
03-09 20:13:26.634 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1553, 1489061606646
03-09 20:13:26.654 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061606646, 1489061606658, 1489061606666
03-09 20:13:26.654 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1573, 1489061606673
03-09 20:13:26.664 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1573, 1489061606673
03-09 20:13:26.674 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061606673, 1489061606685, 1489061606688
03-09 20:13:26.704 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1615, 1489061606714
03-09 20:13:26.704 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1615, 1489061606714
03-09 20:13:26.714 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061606714, 1489061606726, 1489061606729
03-09 20:13:26.744 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1653, 1489061606757
03-09 20:13:26.744 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1653, 1489061606758
03-09 20:13:26.754 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061606758, 1489061606770, 1489061606771
03-09 20:13:26.834 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1753, 1489061606848
03-09 20:13:26.834 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1753, 1489061606848
03-09 20:13:26.844 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061606848, 1489061606859, 1489061606862
03-09 20:13:26.934 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1853, 1489061606948
03-09 20:13:26.934 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1853, 1489061606949
03-09 20:13:26.954 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061606949, 1489061606961, 1489061606965
03-09 20:13:27.034 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1937, 1489061607047
03-09 20:13:27.034 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1937, 1489061607048
03-09 20:13:27.054 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061607048, 1489061607059, 1489061607068
03-09 20:13:27.124 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1953, 1489061607138
03-09 20:13:27.124 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1953, 1489061607139
03-09 20:13:27.144 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061607139, 1489061607151, 1489061607160
03-09 20:13:27.204 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1974, 1489061607216
03-09 20:13:27.204 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1974, 1489061607217
03-09 20:13:27.224 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061607217, 1489061607229, 1489061607231
03-09 20:13:27.224 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2001, 1489061607241
03-09 20:13:27.224 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2001, 1489061607242
03-09 20:13:27.234 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2033, 1489061607244
03-09 20:13:27.234 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2093, 1489061607244
03-09 20:13:27.234 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2033, 1489061607245
03-09 20:13:27.234 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2093, 1489061607245
03-09 20:13:27.244 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061607245, 1489061607261, 1489061607262
03-09 20:13:27.264 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061607245, 1489061607268, 1489061607274
03-09 20:13:27.274 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2193, 1489061607292
03-09 20:13:27.274 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2193, 1489061607292
03-09 20:13:27.294 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061607292, 1489061607304, 1489061607306
03-09 20:13:27.374 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2293, 1489061607383
03-09 20:13:27.374 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2293, 1489061607384
03-09 20:13:27.384 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061607384, 1489061607395, 1489061607398
03-09 20:13:27.484 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2393, 1489061607497
03-09 20:13:27.484 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2393, 1489061607499
03-09 20:13:27.504 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061607499, 1489061607511, 1489061607513
03-09 20:13:27.514 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2426, 1489061607527
03-09 20:13:27.514 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2426, 1489061607527
03-09 20:13:27.544 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061607527, 1489061607539, 1489061607546
03-09 20:13:27.614 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2526, 1489061607617
03-09 20:13:27.614 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2526, 1489061607618
03-09 20:13:27.634 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061607618, 1489061607629, 1489061607639
03-09 20:13:27.714 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2626, 1489061607724
03-09 20:13:27.714 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2626, 1489061607724
03-09 20:13:27.724 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061607724, 1489061607735, 1489061607743
03-09 20:13:27.814 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2726, 1489061607820
03-09 20:13:27.814 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2726, 1489061607821
03-09 20:13:27.824 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061607821, 1489061607832, 1489061607835
03-09 20:13:27.914 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2826, 1489061607919
03-09 20:13:27.914 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2826, 1489061607919
03-09 20:13:27.934 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061607919, 1489061607932, 1489061607937
03-09 20:13:28.004 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2926, 1489061608016
03-09 20:13:28.004 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2926, 1489061608017
03-09 20:13:28.024 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061608017, 1489061608029, 1489061608029
03-09 20:13:28.114 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 3026, 1489061608118
03-09 20:13:28.114 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 3026, 1489061608119
03-09 20:13:28.114 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061608119, 1489061608131, 1489061608131
03-09 20:13:28.114 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 3036, 1489061608132
